"MASTER_TAXON_ID","SCIENTIFIC_NAME","ENGLISH_NAME","TAXON_RANK_ID","TAXON_RANK_NAME","SORT_ORDER","ALT_INT_NAME","CBC_CODE","FIVE_LETTER","EURING_NO"
51280,"Argusianus","",80,"Genus",12500,"","","",
51281,"Argusianus argus","Great Argus",100,"Species",12510,"","","",
51282,"Argusianus argus grayi","",110,"Subspecies",12520,"","","",
51283,"Argusianus argus argus","",110,"Subspecies",12530,"","","",
51284,"Pavo","",80,"Genus",12540,"","","",
1248,"Pavo cristatus","Indian Peafowl",100,"Species",12550,"","PX","",98039
51285,"Pavo muticus","Green Peafowl",100,"Species",12560,"","","",
51286,"Pavo muticus spicifer","",110,"Subspecies",12570,"","","",
51287,"Pavo muticus imperator","",110,"Subspecies",12580,"","","",
51288,"Pavo muticus muticus","",110,"Subspecies",12590,"","","",
51289,"Afropavo","",80,"Genus",12600,"","","",
51290,"Afropavo congensis","Congo Peafowl",100,"Species",12610,"","","",
51291,"Anseriformes","",40,"Order",12620,"","","",
51292,"Anhimidae","Screamers",60,"Family",12630,"","","",
51293,"Anhima","",80,"Genus",12640,"","","",
51294,"Anhima cornuta","Horned Screamer",100,"Species",12650,"","","",
51295,"Chauna","",80,"Genus",12660,"","","",
51296,"Chauna chavaria","Northern Screamer",100,"Species",12670,"","","",
51297,"Chauna torquata","Southern Screamer",100,"Species",12680,"","","",
51298,"Anseranatidae","Magpie Goose",60,"Family",12690,"","","",
51299,"Anseranas","",80,"Genus",12700,"","","",
1151,"Anseranas semipalmata","Magpie Goose",100,"Species",12710,"","MJ","",99914
51300,"Anatidae","Ducks, Geese and Swans",60,"Family",12720,"","","",
51301,"Dendrocygna","",80,"Genus",12730,"","","",
1197,"Dendrocygna viduata","White-faced Whistling Duck",100,"Species",12740,"","YX","WFWDU",99965
51302,"Dendrocygna autumnalis","Black-bellied Whistling Duck",100,"Species",12750,"","ZW","BFWDU",1510
51303,"Dendrocygna autumnalis fulgens","",110,"Subspecies",12760,"","","",
51304,"Dendrocygna autumnalis autumnalis","",110,"Subspecies",12770,"","","",
51305,"Dendrocygna guttata","Spotted Whistling Duck",100,"Species",12780,"","","",
1733,"Dendrocygna arborea","West Indian Whistling Duck",100,"Species",12790,"","","",1500
1015,"Dendrocygna bicolor","Fulvous Whistling Duck",100,"Species",12800,"","YV","FUWDU",1490
51306,"Dendrocygna eytoni","Plumed Whistling Duck",100,"Species",12810,"","","",
51307,"Dendrocygna arcuata","Wandering Whistling Duck",100,"Species",12820,"","","",
51308,"Dendrocygna arcuata arcuata","",110,"Subspecies",12830,"","","",
51309,"Dendrocygna arcuata pygmaea","",110,"Subspecies",12840,"","","",
51310,"Dendrocygna arcuata australis","",110,"Subspecies",12850,"","","",
1016,"Dendrocygna javanica","Lesser Whistling Duck",100,"Species",12860,"","YU","",1491
51311,"Thalassornis","",80,"Genus",12870,"","","",
51312,"Thalassornis leuconotus","White-backed Duck",100,"Species",12880,"","","",
51313,"Thalassornis leuconotus leuconotus","",110,"Subspecies",12890,"","","",
51314,"Thalassornis leuconotus insularis","",110,"Subspecies",12900,"","","",
51315,"Cereopsis","",80,"Genus",12910,"","","",
1575,"Cereopsis novaehollandiae","Cape Barren Goose",100,"Species",12920,"","","",35620
51316,"Cereopsis novaehollandiae novaehollandiae","",110,"Subspecies",12930,"","","",
51317,"Cereopsis novaehollandiae grisea","",110,"Subspecies",12940,"","","",
51330,"Branta","",80,"Genus",12950,"","","",
57,"Branta bernicla","Brent Goose",100,"Species",12960,"","BG","BREGO",1680
1021,"Branta bernicla nigricans","Brent Goose (Black Brant - nigricans)",110,"Subspecies",12970,"","BB","",1683
875,"Branta bernicla bernicla","Brent Goose (Dark-bellied - bernicla)",110,"Subspecies",12980,"","DB","",1681
876,"Branta bernicla hrota","Brent Goose (Light-bellied - hrota)",110,"Subspecies",12990,"","PB","",1682
902,"Branta bernicla hrota (Svalbard)","Brent Goose (Svalbard Light-bellied)",120,"Subspecies (non-standard)",13000,"","QS","",98037
1435,"Branta bernicla hrota (Nearctic)","Brent Goose (Light-bellied of Nearctic origin)",120,"Subspecies (non-standard)",13010,"","QN","",98036
58,"Branta ruficollis","Red-breasted Goose",100,"Species",13020,"","EB","REBGO",1690
1149,"Branta sandvicensis","Nene",100,"Species",13030,"","NE","HAIGO",99912
55,"Branta canadensis","Canada Goose",100,"Species",13040,"","CG","CANGO",1660
51331,"Branta canadensis occidentalis","",110,"Subspecies",13050,"","","",
51332,"Branta canadensis fulva","Canada Goose (Vancouver - fulva)",110,"Subspecies",13060,"","","",
51333,"Branta canadensis maxima","",110,"Subspecies",13070,"","","",
1598,"Branta canadensis parvipes","Canada Goose (Lesser - parvipes)",110,"Subspecies",13080,"","","",1663
51334,"Branta canadensis moffitti","",110,"Subspecies",13090,"","","",
1599,"Branta canadensis interior","Canada Goose (Todd's - interior)",110,"Subspecies",13100,"","","",
51335,"Branta canadensis canadensis","",110,"Subspecies",13110,"","","",
1448,"Branta canadensis x Anser anser","Canada x Greylag Goose",70,"Subfamily (non-standard)",13120,"","ZI","",98013
1445,"Branta canadensis x Anser indicus","Canada x Bar-headed Goose",70,"Subfamily (non-standard)",13130,"","ZE","",98012
1723,"Branta canadensis x Anser caerulescens","Canada x Snow Goose",70,"Subfamily (non-standard)",13140,"","ZK","",
56,"Branta leucopsis","Barnacle Goose",100,"Species",13150,"","BY","BARGO",1670
909,"Branta leucopsis (naturalised)","Barnacle Goose (naturalised)",120,"Subspecies (non-standard)",13160,"","YE","",99803
907,"Branta leucopsis (Greenland)","Barnacle Goose (Greenland)",120,"Subspecies (non-standard)",13170,"","YN","",98004
908,"Branta leucopsis (Svalbard)","Barnacle Goose (Svalbard)",120,"Subspecies (non-standard)",13180,"","YS","",98005
1447,"Branta leucopsis x canadensis","Barnacle x Canada Goose",90,"Subgenus (non-standard)",13190,"","ZH","",98006
1446,"Branta leucopsis x Anser anser","Barnacle x Greylag Goose",70,"Subfamily (non-standard)",13200,"","ZG","",98007
1431,"Branta hutchinsii","Cackling Goose",100,"Species",13210,"","LQ","LECGO",1664
51337,"Branta hutchinsii leucopareia","",110,"Subspecies",13220,"","","",
1602,"Branta hutchinsii minima","Cackling Goose (Small - minima)",110,"Subspecies",13230,"","","",
1600,"Branta hutchinsii taverneri","Cackling Goose (Taverner's - taverneri)",110,"Subspecies",13240,"","","",
1601,"Branta hutchinsii hutchinsii","Cackling Goose (Richardson's - hutchinsii)",110,"Subspecies",13250,"","","",
51318,"Anser","",80,"Genus",13260,"","","",
1018,"Anser indicus","Bar-headed Goose",100,"Species",13270,"","HD","",1620
1020,"Anser canagicus","Emperor Goose",100,"Species",13280,"","EM","",1650
1019,"Anser rossii","Ross's Goose",100,"Species",13290,"","RJ","",1640
54,"Anser caerulescens","Snow Goose",100,"Species",13300,"","SJ","SNOGO",1630
1458,"Anser caerulescens caerulescens","Snow Goose (Lesser - caerulescens)",110,"Subspecies",13310,"","QJ","",1631
1459,"Anser caerulescens atlanticus","Snow Goose (Greater - atlanticus)",110,"Subspecies",13320,"","","",1632
53,"Anser anser","Greylag Goose",100,"Species",13330,"","GJ","GREGO",1610
51324,"Anser anser anser","",110,"Subspecies",13340,"","","",
51325,"Anser anser rubrirostris","",110,"Subspecies",13350,"","","",
905,"Anser anser (native Scottish)","Greylag Goose (native Scottish)",120,"Subspecies (non-standard)",13360,"","JH","",98021
1744,"Anser anser (British/Irish)","Greylag Goose (British/Irish)",120,"Subspecies (non-standard)",13370,"","JA","",
904,"Anser anser (Icelandic)","Greylag Goose (Icelandic)",120,"Subspecies (non-standard)",13380,"","JI","",98020
906,"Anser anser (re-established)","Greylag Goose (re-established)",120,"Subspecies (non-standard)",13390,"","JE","",99802
1152,"Anser anser f. domestica","Domestic Greylag Goose",115,"Variety",13400,"","ZL","",99917
