MASTER_TAXON_ID,ALTERNATIVE_SCI_NAME,CURRENT_SCI_NAME,SORT_ORDER_IOC
58077,Caprimulgus arizonae,Antrostomus arizonae,72700
58083,Caprimulgus noctitherus,Antrostomus noctitherus,72760
58084,Caprimulgus saturatus,Antrostomus saturatus,72770
58086,Caprimulgus binotatus,Veles binotatus,72790
58192,Macrodipteryx longipennis,Caprimulgus longipennis,73850
58193,Macrodipteryx vexillarius,Caprimulgus vexillarius,73860
58313,Collocalia elaphra,Aerodramus elaphrus,75070
58314,Collocalia francica,Aerodramus francicus,75080
58315,Collocalia unicolor,Aerodramus unicolor,75090
58316,Collocalia mearnsi,Aerodramus mearnsi,75100
58320,Collocalia hirundinacea,Aerodramus hirundinaceus,75140
58343,Collocalia vulcanorum,Aerodramus vulcanorum,75360
58344,Collocalia whiteheadi,Aerodramus whiteheadi,75370
58347,Collocalia nuditarsus,Aerodramus nuditarsus,75400
58348,Collocalia orientalis,Aerodramus orientalis,75410
58351,Collocalia salangana,Aerodramus salangana,75440
58371,Collocalia pelewensis,Aerodramus pelewensis,75650
58372,Collocalia bartschi,Aerodramus bartschi,75660
58373,Collocalia inquieta,Aerodramus inquietus,75670
58377,Collocalia leucophaea,Aerodramus leucophaeus,75710
58378,Collocalia sawtelli,Aerodramus sawtelli,75720
58379,Collocalia ocista,Aerodramus ocistus,75730
58382,Collocalia maxima,Aerodramus maximus,75760
58386,Collocalia fuciphaga,Aerodramus fuciphagus,75800
58393,Collocalia germani,Aerodramus germani,75870
58396,Collocalia papuensis,Aerodramus papuensis,75900
298,Apus melba,Tachymarptis melba,77050
58669,Phaethornis aethopyga,Phaethornis aethopygus,78710
58927,Damophila julie,Juliamyia julie,81260
59054,Amazilia saucerrottei,Amazilia saucerottei,82540
59134,Hylocharis xantusii,Basilinna xantusii,83330
59135,Hylocharis leucotis,Basilinna leucotis,83340
59282,Sephanoides sephanoides,Sephanoides sephaniodes,84820
59326,Eriocnemis alinae,Eriocnemis aline,85270
59364,Sappho sparganura,Sappho sparganurus,85690
59429,Aglaiocercus kingi,Aglaiocercus kingii,86330
59546,Stellula calliope,Selasphorus calliope,87490
59744,Coracias naevia,Coracias naevius,89440
59758,Coracias abyssinica,Coracias abyssinicus,89560
59787,Brachypteracias squamiger,Geobiastes squamiger,89860
59963,Todirhamphus chloris,Todiramphus chloris,91600
60020,Todiramphus saurophaga,Todiramphus saurophagus,92210
60059,Ceyx lecontei,Ispidina lecontei,92570
60060,Ceyx pictus,Ispidina picta,92600
60065,Ceyx madagascariensis,Corythornis madagascariensis,92650
60068,Alcedo leucogaster,Corythornis leucogaster,92680
60072,Alcedo cristata,Corythornis cristatus,92720
60078,Alcedo vintsioides,Corythornis vintsioides,92780
60131,Alcedo cyanopectus,Ceyx cyanopectus,93340
60134,Alcedo argentata,Ceyx argentatus,93370
60137,Alcedo azurea,Ceyx azureus,93390
60144,Alcedo websteri,Ceyx websteri,93460
60145,Alcedo pusilla,Ceyx pusillus,93470
60382,Tockus bradfieldi,Lophoceros bradfieldi,95970
60378,Tockus alboterminatus,Lophoceros alboterminatus,95980
60383,Tockus fasciatus,Lophoceros fasciatus,95990
60386,Tockus hemprichii,Lophoceros hemprichii,96020
60390,Tockus nasutus,Lophoceros nasutus,96030
60408,Tockus camurus,Lophoceros camurus,96060
60387,Tockus pallidirostris,Lophoceros pallidirostris,96070
60478,Ceratogymna fistulator,Bycanistes fistulator,96110
60482,Ceratogymna bucinator,Bycanistes bucinator,96150
60484,Ceratogymna albotibialis,Bycanistes albotibialis,96170
60485,Ceratogymna subcylindricus,Bycanistes subcylindricus,96180
60488,Ceratogymna brevis,Bycanistes brevis,96210
60405,Tockus hartlaubi,Horizocerus hartlaubi,96260
60410,Tropicranus albocristatus,Horizocerus albocristatus,96290
60454,Aceros comatus,Berenicornis comatus,96340
60464,Aceros plicatus,Rhyticeros plicatus,96660
60471,Aceros narcondami,Rhyticeros narcondami,96670
60473,Aceros undulatus,Rhyticeros undulatus,96680
60476,Aceros everetti,Rhyticeros everetti,96690
60472,Aceros subruficollis,Rhyticeros subruficollis,96700
60457,Aceros cassidix,Rhyticeros cassidix,96710
60461,Aceros waldeni,Rhabdotorrhinus waldeni,96730
60462,Aceros leucocephalus,Rhabdotorrhinus leucocephalus,96740
60439,Penelopides exarhatus,Rhabdotorrhinus exarhatus,96750
60458,Aceros corrugatus,Rhabdotorrhinus corrugatus,96780
60810,Megalaima virens,Psilopogon virens,100030
60817,Megalaima lagrandieri,Psilopogon lagrandieri,100100
60820,Megalaima zeylanica,Psilopogon zeylanicus,100130
60824,Megalaima lineata,Psilopogon lineatus,100170
60827,Megalaima viridis,Psilopogon viridis,100200
60828,Megalaima faiostricta,Psilopogon faiostrictus,100210
60831,Megalaima corvina,Psilopogon corvinus,100240
60832,Megalaima chrysopogon,Psilopogon chrysopogon,100250
60836,Megalaima rafflesii,Psilopogon rafflesii,100290
60837,Megalaima mystacophanos,Psilopogon mystacophanos,100300
60840,Megalaima javensis,Psilopogon javensis,100330
60841,Megalaima flavifrons,Psilopogon flavifrons,100340
60842,Megalaima franklinii,Psilopogon franklinii,100350
60848,Megalaima oorti,Psilopogon oorti,100410
60849,Megalaima annamensis,Psilopogon annamensis,100420
60850,Megalaima faber,Psilopogon faber,100430
60853,Megalaima nuchalis,Psilopogon nuchalis,100460
60854,Megalaima asiatica,Psilopogon asiaticus,100470
60858,Megalaima monticola,Psilopogon monticola,100510
60859,Megalaima incognita,Psilopogon incognitus,100520
60863,Megalaima henricii,Psilopogon henricii,100560
60866,Megalaima armillaris,Psilopogon armillaris,100590
60869,Megalaima pulcherrima,Psilopogon pulcherrimus,100620
60878,Megalaima eximia,Psilopogon eximius,100710
60881,Megalaima rubricapillus,Psilopogon rubricapillus,100740
60882,Megalaima malabarica,Psilopogon malabaricus,100750
60883,Megalaima haemacephala,Psilopogon haemacephalus,100760
60894,Calorhamphus fuliginosus,Caloramphus fuliginosus,100870
60938,Pogoniulus coryphaeus,Pogoniulus coryphaea,101310
61372,Dendrocopos temminckii,Yungipicus temminckii,105140
61385,Dendrocopos nanus,Yungipicus nanus,105150
61401,Dendrocopos canicapillus,Yungipicus canicapillus,105200
61373,Dendrocopos maculatus,Yungipicus maculatus,105320
61379,Dendrocopos ramsayi,Yungipicus ramsayi,105360
61382,Dendrocopos moluccensis,Yungipicus moluccensis,105370
61390,Dendrocopos kizuki,Yungipicus kizuki,105400
61557,Dendrocopos tridactylus,Picoides tridactylus,105520
61446,Dendrocopos dorae,Dendrocoptes dorae,105670
61440,Dendrocopos auriceps,Dendrocoptes auriceps,105680
61457,Dendrocopos medius,Dendrocoptes medius,105710
61443,Dendrocopos mahrattensis,Leiopicus mahrattensis,105770
61338,Dendropicos namaquus,Chloropicus namaquus,105810
61338,Thripias namaquus,Chloropicus namaquus,105810
61342,Dendropicos xantholophus,Chloropicus xantholophus,105850
61342,Thripias xantholophus,Chloropicus xantholophus,105850
61343,Dendropicos pyrrhogaster,Chloropicus pyrrhogaster,105860
61343,Thripias pyrrhogaster,Chloropicus pyrrhogaster,105860
61344,Mesopicos elliotii,Dendropicos elliotii,106060
61357,Mesopicos griseocephalus,Dendropicos griseocephalus,106190
61361,Dendrocopos obsoletus,Dendropicos obsoletus,106230
61361,Picoides obsoletus,Dendropicos obsoletus,106230
61519,Picoides nuttallii,Dryobates nuttallii,106290
61509,Picoides scalaris,Dryobates scalaris,106300
61520,Picoides pubescens,Dryobates pubescens,106400
61447,Dendrocopos cathpharius,Dryobates cathpharius,106480
311,Dendrocopos minor,Dryobates minor,106550
