"MASTER_TAXON_ID","ALTERNATIVE_SCI_NAME","ALTERNATIVE_RANK_ID","ALTERNATIVE_RANK_NAME","CURRENT_SCI_NAME","CURRENT_RANK_ID","CURRENT_RANK_NAME","SORT_ORDER_IOC","NUMBER_OF_LISTS"
80348,"Spinus magellanica hoyi",110,"Subspecies","Spinus magellanicus hoyi",110,"Subspecies",306880,1
80349,"Spinus magellanica tucumana",110,"Subspecies","Spinus magellanicus tucumanus",110,"Subspecies",306890,1
80350,"Spinus magellanica alleni",110,"Subspecies","Spinus magellanicus alleni",110,"Subspecies",306900,1
80351,"Spinus magellanica icterica",110,"Subspecies","Spinus magellanicus ictericus",110,"Subspecies",306910,1
80352,"Spinus magellanica magellanica",110,"Subspecies","Spinus magellanicus magellanicus",110,"Subspecies",306920,1
80353,"Spinus magellanica longirostris",110,"Subspecies","Spinus magellanicus longirostris",110,"Subspecies",306930,1
80354,"Carduelis siemiradzkii",100,"Species","Spinus siemiradzkii",100,"Species",306940,1
80355,"Carduelis yarrellii",100,"Species","Spinus yarrellii",100,"Species",306950,2
80356,"Carduelis cucullata",100,"Species","Spinus cucullatus",100,"Species",306960,1
80356,"Spinus cucullata",100,"Species","Spinus cucullatus",100,"Species",306960,1
80357,"Carduelis atrata",100,"Species","Spinus atratus",100,"Species",306970,1
80357,"Spinus atrata",100,"Species","Spinus atratus",100,"Species",306970,1
80358,"Carduelis uropygialis",100,"Species","Spinus uropygialis",100,"Species",306980,1
80359,"Carduelis crassirostris",100,"Species","Spinus crassirostris",100,"Species",306990,1
80362,"Carduelis spinescens",100,"Species","Spinus spinescens",100,"Species",307020,1
1170,"Fringillidae sp",100,"Species","Fringillidae sp.",70,"Subfamily (non-standard)",308020,1
512,"Calcarius nivalis",100,"Species","Plectrophenax nivalis",100,"Species",308160,1
81234,"Melophus lathami",100,"Species","Emberiza lathami",100,"Species",308320,1
81235,"Latoucheornis siemsseni",100,"Species","Emberiza siemsseni",100,"Species",308330,1
528,"Miliaria calandra",100,"Species","Emberiza calandra",100,"Species",308340,1
513,"Emberiza leucocephalus",100,"Species","Emberiza leucocephalos",100,"Species",308410,1
81284,"Emberiza tahapisi goslingi",110,"Subspecies","Emberiza goslingi",100,"Species",308900,1
