"MASTER_TAXON_ID","SCIENTIFIC_NAME","ENGLISH_NAME","TAXON_RANK_ID","TAXON_RANK_NAME","SORT_ORDER","ALT_INT_NAME","CBC_CODE"
82761,"Diuca diuca chiloensis","",110,"Subspecies",330740,"",""
82762,"Diuca diuca minor","",110,"Subspecies",330750,"",""
82763,"Idiopsar","",80,"Genus",330760,"",""
82764,"Idiopsar brachyurus","Short-tailed Finch",100,"Species",330770,"",""
82765,"Piezorina","",80,"Genus",330780,"",""
82766,"Piezorina cinerea","Cinereous Finch",100,"Species",330790,"",""
82767,"Xenospingus","",80,"Genus",330800,"",""
82768,"Xenospingus concolor","Slender-billed Finch",100,"Species",330810,"",""
82769,"Incaspiza","",80,"Genus",330820,"",""
82770,"Incaspiza pulchra","Great Inca Finch",100,"Species",330830,"",""
82771,"Incaspiza personata","Rufous-backed Inca Finch",100,"Species",330840,"",""
82772,"Incaspiza ortizi","Grey-winged Inca Finch",100,"Species",330850,"",""
82773,"Incaspiza laeta","Buff-bridled Inca Finch",100,"Species",330860,"",""
82774,"Incaspiza watkinsi","Little Inca Finch",100,"Species",330870,"",""
82775,"Poospiza","",80,"Genus",330880,"",""
82776,"Poospiza thoracica","Bay-chested Warbling Finch",100,"Species",330890,"",""
82777,"Poospiza boliviana","Bolivian Warbling Finch",100,"Species",330900,"",""
82778,"Poospiza alticola","Plain-tailed Warbling Finch",100,"Species",330910,"",""
82779,"Poospiza hypocondria","Rufous-sided Warbling Finch",100,"Species",330920,"",""
82780,"Poospiza hypocondria hypocondria","",110,"Subspecies",330930,"",""
82781,"Poospiza hypocondria affinis","",110,"Subspecies",330940,"",""
82782,"Poospiza erythrophrys","Rusty-browed Warbling Finch",100,"Species",330950,"",""
82783,"Poospiza erythrophrys cochabambae","",110,"Subspecies",330960,"",""
82784,"Poospiza erythrophrys erythrophrys","",110,"Subspecies",330970,"",""
82785,"Poospiza ornata","Cinnamon Warbling Finch",100,"Species",330980,"",""
82786,"Poospiza nigrorufa","Black-and-rufous Warbling Finch",100,"Species",330990,"",""
82787,"Poospiza whitii","Black-and-chestnut Warbling Finch",100,"Species",331000,"",""
82788,"Poospiza whitii wagneri","",110,"Subspecies",331010,"",""
82789,"Poospiza whitii whitii","",110,"Subspecies",331020,"",""
82790,"Poospiza lateralis","Buff-throated Warbling Finch",100,"Species",331030,"",""
82791,"Poospiza cabanisi","Grey-throated Warbling Finch",100,"Species",331040,"",""
82792,"Poospiza rubecula","Rufous-breasted Warbling Finch",100,"Species",331050,"",""
82793,"Poospiza hispaniolensis","Collared Warbling Finch",100,"Species",331060,"",""
82794,"Poospiza torquata","Ringed Warbling Finch",100,"Species",331070,"",""
82795,"Poospiza torquata torquata","",110,"Subspecies",331080,"",""
82796,"Poospiza torquata pectoralis","",110,"Subspecies",331090,"",""
82797,"Poospiza melanoleuca","Black-capped Warbling Finch",100,"Species",331100,"",""
82798,"Poospiza cinerea","Cinereous Warbling Finch",100,"Species",331110,"",""
82799,"Poospiza caesar","Chestnut-breasted Mountain Finch",100,"Species",331120,"",""
82800,"Compsospiza","",80,"Genus",331130,"",""
82801,"Compsospiza garleppi","Cochabamba Mountain Finch",100,"Species",331140,"",""
82802,"Compsospiza baeri","Tucuman Mountain Finch",100,"Species",331150,"",""
82803,"Sicalis","",80,"Genus",331160,"",""
82804,"Sicalis citrina","Stripe-tailed Yellow Finch",100,"Species",331170,"",""
82805,"Sicalis citrina browni","",110,"Subspecies",331180,"",""
82806,"Sicalis citrina citrina","",110,"Subspecies",331190,"",""
82807,"Sicalis citrina occidentalis","",110,"Subspecies",331200,"",""
82808,"Sicalis lutea","Puna Yellow Finch",100,"Species",331210,"",""
82809,"Sicalis uropigyalis","Bright-rumped Yellow Finch",100,"Species",331220,"",""
82810,"Sicalis uropigyalis sharpei","",110,"Subspecies",331230,"",""
82812,"Sicalis uropigyalis uropigyalis","",110,"Subspecies",331240,"",""
82813,"Sicalis luteocephala","Citron-headed Yellow Finch",100,"Species",331250,"",""
82814,"Sicalis auriventris","Greater Yellow Finch",100,"Species",331260,"",""
82815,"Sicalis olivascens","Greenish Yellow Finch",100,"Species",331270,"",""
82816,"Sicalis olivascens salvini","",110,"Subspecies",331280,"",""
82817,"Sicalis olivascens chloris","",110,"Subspecies",331290,"",""
82818,"Sicalis olivascens olivascens","",110,"Subspecies",331300,"",""
82819,"Sicalis mendozae","Monte Yellow Finch",100,"Species",331310,"",""
82820,"Sicalis lebruni","Patagonian Yellow Finch",100,"Species",331320,"",""
82821,"Sicalis columbiana","Orange-fronted Yellow Finch",100,"Species",331330,"",""
82822,"Sicalis columbiana columbiana","",110,"Subspecies",331340,"",""
82823,"Sicalis columbiana leopoldinae","",110,"Subspecies",331350,"",""
82824,"Sicalis columbiana goeldii","",110,"Subspecies",331360,"",""
82825,"Sicalis flaveola","Saffron Finch",100,"Species",331370,"",""
82826,"Sicalis flaveola flaveola","",110,"Subspecies",331380,"",""
82827,"Sicalis flaveola valida","",110,"Subspecies",331390,"",""
82828,"Sicalis flaveola brasiliensis","",110,"Subspecies",331400,"",""
82829,"Sicalis flaveola pelzelni","",110,"Subspecies",331410,"",""
82830,"Sicalis flaveola koenigi","",110,"Subspecies",331420,"",""
82831,"Sicalis luteola","Grassland Yellow Finch",100,"Species",331430,"",""
82832,"Sicalis luteola chrysops","",110,"Subspecies",331440,"",""
82833,"Sicalis luteola mexicana","",110,"Subspecies",331450,"",""
82834,"Sicalis luteola eisenmanni","",110,"Subspecies",331460,"",""
82835,"Sicalis luteola bogotensis","",110,"Subspecies",331470,"",""
82836,"Sicalis luteola luteola","",110,"Subspecies",331480,"",""
82837,"Sicalis luteola flavissima","",110,"Subspecies",331490,"",""
82838,"Sicalis luteola chapmani","",110,"Subspecies",331500,"",""
82839,"Sicalis luteola luteiventris","",110,"Subspecies",331510,"",""
82840,"Sicalis raimondii","Raimondi's Yellow Finch",100,"Species",331520,"",""
82841,"Sicalis taczanowskii","Sulphur-throated Finch",100,"Species",331530,"",""
82842,"Emberizoides","",80,"Genus",331540,"",""
82843,"Emberizoides herbicola","Wedge-tailed Grass Finch",100,"Species",331550,"",""
82844,"Emberizoides herbicola lucaris","",110,"Subspecies",331560,"",""
82845,"Emberizoides herbicola hypochondriacus","",110,"Subspecies",331570,"",""
82846,"Emberizoides herbicola apurensis","",110,"Subspecies",331580,"",""
82847,"Emberizoides herbicola sphenurus","",110,"Subspecies",331590,"",""
82848,"Emberizoides herbicola herbicola","",110,"Subspecies",331600,"",""
82849,"Emberizoides ypiranganus","Lesser Grass Finch",100,"Species",331610,"",""
82850,"Emberizoides duidae","Duida Grass Finch",100,"Species",331620,"",""
82851,"Embernagra","",80,"Genus",331630,"",""
82852,"Embernagra platensis","Pampa Finch",100,"Species",331640,"",""
82853,"Embernagra platensis platensis","",110,"Subspecies",331650,"",""
82854,"Embernagra platensis olivascens","",110,"Subspecies",331660,"",""
82855,"Embernagra platensis catamarcana","",110,"Subspecies",331670,"",""
82856,"Embernagra platensis gossei","",110,"Subspecies",331680,"",""
82857,"Embernagra longicauda","Serra Finch",100,"Species",331690,"",""
82672,"Saltatricula","",80,"Genus",331700,"",""
82673,"Saltatricula multicolor","Many-colored Chaco Finch",100,"Species",331710,"",""
83290,"Saltator","",80,"Genus",331720,"",""
83291,"Saltator grossus","Slate-colored Grosbeak",100,"Species",331730,"",""
83292,"Saltator grossus saturatus","",110,"Subspecies",331740,"",""
83293,"Saltator grossus grossus","",110,"Subspecies",331750,"",""
83294,"Saltator fuliginosus","Black-throated Grosbeak",100,"Species",331760,"",""
83295,"Saltator atriceps","Black-headed Saltator",100,"Species",331770,"",""
83296,"Saltator atriceps atriceps","",110,"Subspecies",331780,"",""
